formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,18.717680858091917,1.0,1.0,12.0,23709.2926,17.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.079110297325923,0.0,3.0,14.0,12622.0312,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.989326845970991,0.0,3.0,9.0,35305.7362,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.984548139051851,0.0,4.0,16.0,19482.7134,64.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.071731227062939,0.0,2.0,5.0,8080.5634,82.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.980398642646911,0.0,4.0,10.0,34311.2402,33.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.99821064663944,0.0,1.0,12.0,2359.8442,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.082535569044843,0.0,4.0,3.0,8557.1596,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.977121196028506,0.0,3.0,6.0,6718.0272,25.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.073377123897311,0.0,3.0,23.0,36767.4305,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.072387257486853,0.0,3.0,23.0,19955.7145,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.971629930893088,0.0,4.0,22.0,10855.4399,62.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.0,1.0,3.0,13.0,32912.338,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.647392036394824,0.0,2.0,22.0,27118.6381,79.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.971936245698032,0.0,1.0,9.0,39439.0612,34.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,2.0,16308.5723,98.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,6.970557461030323,0.0,3.0,1.0,4459.2522,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0784883509933225,0.0,1.0,3.0,4098.7201,13.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.073143965736036,0.0,3.0,12.0,24266.8422,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.073992961302952,0.0,4.0,9.0,14490.2253,79.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.968905633385512,0.0,4.0,7.0,6162.4909,4.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.986701523456322,0.0,2.0,12.0,39502.0085,51.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,7.629021866820574,0.0,3.0,6.0,25761.905,3.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,6.979041435861705,0.0,1.0,7.0,39680.5043,47.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.6269954241768385,0.0,2.0,20.0,26111.8336,48.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.074040793590834,0.0,1.0,4.0,27235.0943,79.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.08123652379655,0.0,2.0,14.0,2680.0025,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.084193469642751,0.0,2.0,2.0,19888.5204,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,7.630579748134117,0.0,3.0,9.0,20896.9069,16.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,7.626194239003491,0.0,4.0,10.0,15696.9804,55.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.644977541107689,0.0,4.0,10.0,26311.974,51.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.980631390960637,0.0,4.0,11.0,3875.6929,11.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.980231698604398,0.0,2.0,5.0,12555.0662,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.630561444063611,0.0,3.0,15.0,39665.2705,41.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,7.626027296950614,0.0,4.0,23.0,31652.4507,16.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.970492576877558,0.0,1.0,14.0,6073.0344,54.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.641516751172458,0.0,4.0,22.0,16078.9501,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.074636985490916,0.0,3.0,15.0,10479.0694,88.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.073959437345872,0.0,4.0,19.0,29476.1003,98.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0,0.0,4.0,1.0,34216.8755,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.624036786720607,0.0,3.0,0.0,28406.5136,40.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.974596914995338,0.0,1.0,9.0,15697.4309,49.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.980720527947249,0.0,4.0,3.0,17382.8195,39.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.071749605377927,0.0,2.0,17.0,8877.5548,98.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.976670791674376,0.0,1.0,16.0,32277.6395,38.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.637577256713669,0.0,2.0,3.0,26327.7011,71.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.975896701328239,0.0,2.0,3.0,21201.3869,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,18.71638716820421,0.0,2.0,18.0,34123.1728,1.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,7.640539162246474,0.0,3.0,3.0,24158.8096,50.0,False,False,True,False,False,False,False,False,False,False,False,False
