formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,7.652415003046407,0.0,4.0,10.0,27967.1951,7.0,False,False,True,False,False,True,False,False,False,False,True,True
1.0,6.987274191939466,0.0,2.0,11.0,25289.0911,64.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,6.96420158825728,0.0,3.0,5.0,5156.9845,45.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.973559797299381,0.0,4.0,1.0,2581.9152,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.642005219331615,1.0,1.0,18.0,15621.9178,11.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.650770062070107,0.0,3.0,22.0,38989.2548,2.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.079968963690071,0.0,4.0,10.0,16391.2373,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.980698632356267,0.0,1.0,15.0,31602.6542,25.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.974867516058283,0.0,1.0,19.0,1659.8511,16.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.976574906539952,0.0,3.0,2.0,27600.0061,19.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,6.974076971178588,0.0,2.0,0.0,4238.3769,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.970112926231777,0.0,1.0,12.0,33372.8361,49.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,7.589065462262057,1.0,2.0,9.0,26162.7384,3.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.084423762415741,0.0,2.0,4.0,24548.3211,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.970593846986133,0.0,4.0,4.0,39698.8447,9.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.977141344674635,0.0,3.0,1.0,16728.115,33.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.96655747369425,0.0,2.0,17.0,14332.6709,69.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9858183782891485,0.0,4.0,19.0,3882.2304,76.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.965305581412737,0.0,4.0,2.0,13187.5582,27.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.980194387730084,0.0,2.0,11.0,10993.3526,42.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.983048568750783,0.0,3.0,15.0,39036.1094,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.965714250197175,0.0,4.0,11.0,5276.5885,19.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,7.628761108175589,0.0,3.0,9.0,24275.1246,25.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,7.64539565723971,0.0,2.0,6.0,24983.4398,16.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.96646560153614,0.0,3.0,3.0,7685.743,43.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.195839403535965,1.0,1.0,21.0,37316.4734,63.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.0763552628530535,0.0,1.0,2.0,12781.1234,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.641620216743256,0.0,1.0,18.0,25028.6267,41.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.977471723903733,0.0,2.0,0.0,35163.88,19.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.07440605662708,0.0,1.0,15.0,22511.8633,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,7.632752229392032,0.0,4.0,1.0,21294.1487,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.967907389076574,0.0,4.0,10.0,22091.9097,34.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,7.651367099885946,0.0,4.0,6.0,21709.4802,81.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.076426162633091,0.0,3.0,17.0,16335.6922,99.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,5.07176391402339,0.0,2.0,20.0,28405.1616,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.987199485520852,0.0,4.0,7.0,22260.7488,11.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,7.623934431941773,0.0,4.0,10.0,26231.5043,20.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,6.978428649668951,0.0,1.0,14.0,38666.1264,63.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.605207446808511,1.0,3.0,7.0,25076.6982,45.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,6.972912879555223,0.0,3.0,16.0,14993.1873,29.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,6.989268262663421,0.0,2.0,16.0,35006.1558,27.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.973272978157829,0.0,1.0,9.0,36626.4263,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.072316284534373,0.0,4.0,6.0,6821.2342,94.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.9647898725210124,0.0,3.0,3.0,4027.0982,39.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.627619675414002,0.0,3.0,21.0,22084.5785,18.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.644252894548883,0.0,4.0,6.0,29218.9575,76.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.989173358142258,0.0,2.0,16.0,33911.6474,35.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.074015592025108,0.0,2.0,17.0,9885.5553,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.982526146756615,0.0,2.0,15.0,12935.5943,23.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.64516418630471,0.0,4.0,22.0,31598.9032,3.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.0733328367254265,0.0,2.0,17.0,29280.1188,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.97551550075395,0.0,2.0,23.0,34831.554,16.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.987027163714551,0.0,2.0,12.0,38119.1599,62.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.071990538734589,0.0,1.0,21.0,5201.6184,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.987125017026438,0.0,2.0,16.0,17916.2116,9.0,False,True,False,False,False,True,False,False,False,False,True,True
1.0,6.988382001685415,0.0,2.0,16.0,34832.9328,29.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.0,0.0,3.0,20.0,32369.2981,86.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,6.96897732811049,0.0,1.0,12.0,22134.5286,21.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.98739109866347,0.0,3.0,2.0,4593.8756,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.6512264710854625,0.0,2.0,14.0,29496.2359,17.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.0,1.0,4.0,2.0,32291.4619,73.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9761586221130445,0.0,1.0,4.0,3380.4296,48.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.080551231596164,0.0,4.0,13.0,14016.0277,97.0,True,True,False,True,False,True,False,False,True,True,True,True
1.0,5.0,0.0,1.0,0.0,38836.4543,26.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,1.0,2.0,18.0,32894.9482,95.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,6.965165186802659,0.0,3.0,11.0,2741.6436,8.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.073165406943904,0.0,1.0,9.0,18559.8435,92.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,7.640154046010274,1.0,4.0,20.0,16823.7921,20.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,6.968456242425143,0.0,3.0,7.0,31552.3835,30.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.964605802746057,0.0,4.0,0.0,38786.0703,45.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,5.105133555807165,0.0,4.0,7.0,24705.8364,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.976227881157864,0.0,2.0,6.0,11835.4877,1.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.989763559270404,0.0,1.0,2.0,8393.4047,75.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.076297267387479,0.0,2.0,1.0,8511.8295,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.080335102236336,0.0,2.0,2.0,22202.0084,84.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,5.102172750752352,0.0,2.0,20.0,2403.8599,91.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.980489197986,0.0,1.0,5.0,38211.5882,66.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.969824459583468,0.0,1.0,20.0,13080.6366,6.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,6.982759700442378,0.0,4.0,3.0,5927.8429,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,1.0,4.0,2.0,30200.5648,65.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.971792450238543,0.0,3.0,10.0,16330.3817,39.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.987904014405963,0.0,2.0,8.0,22068.1931,56.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.075106941897418,0.0,4.0,7.0,19280.8771,89.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.0,0.0,2.0,5.0,34835.7312,99.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,6.965000509045932,0.0,2.0,0.0,8694.0303,3.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,5.073538000031591,0.0,3.0,6.0,9062.3851,96.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.072114155277636,0.0,4.0,23.0,7574.1459,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.077938782529076,0.0,1.0,15.0,8462.9185,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.074917752486389,0.0,1.0,9.0,6467.2939,88.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.08069436285626,0.0,2.0,2.0,16352.8732,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.986273015555524,0.0,2.0,17.0,30095.502,57.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.084303602279314,0.0,3.0,8.0,15109.2189,96.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.985022614946038,0.0,3.0,7.0,38721.0371,17.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.072128688798317,0.0,3.0,1.0,4580.9298,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.645179250383607,0.0,2.0,22.0,27440.3469,17.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.978039271822015,0.0,1.0,10.0,12288.5135,13.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0,0.0,4.0,18.0,37564.171,92.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.080293183827731,0.0,1.0,3.0,18307.0386,78.0,True,False,False,False,False,False,False,False,False,False,False,True
1.0,6.9836252525640665,0.0,3.0,1.0,38860.0198,26.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.073576420261782,0.0,2.0,3.0,10579.4098,87.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.968132641558582,0.0,3.0,23.0,9488.2735,57.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.965353068884013,0.0,2.0,3.0,7457.1341,31.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,7.624665790967424,0.0,2.0,18.0,26443.2401,20.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.083411679127053,0.0,3.0,11.0,15696.0904,93.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.083800856489518,0.0,2.0,11.0,28066.7578,82.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.986912204406687,0.0,4.0,5.0,33341.1303,21.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.972031145447292,0.0,3.0,5.0,16995.0134,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.980027739917456,0.0,4.0,19.0,10529.029,44.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,7.624739757711279,0.0,1.0,10.0,25710.658,10.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,7.641903570147248,0.0,1.0,20.0,39127.2435,46.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.073612507999068,0.0,2.0,18.0,7252.411,85.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.972597127394986,0.0,4.0,14.0,29107.2535,100.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.970086445922029,0.0,3.0,11.0,10611.1624,41.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.973512204887555,0.0,2.0,3.0,24494.1283,10.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.082364468299364,0.0,1.0,7.0,22747.6301,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,18.719774570243068,0.0,1.0,5.0,20265.864,47.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.971503167138955,0.0,4.0,19.0,39169.8211,74.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9885758237595965,0.0,3.0,19.0,3429.8996,33.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.989104084060776,0.0,2.0,13.0,14817.3623,57.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,6.978478472144966,0.0,3.0,21.0,7646.5324,65.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,6.985283258687701,0.0,3.0,0.0,22400.5149,4.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,18.70833659528627,0.0,2.0,13.0,25598.003,14.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.974377599487534,0.0,3.0,22.0,34343.3746,50.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.624996949253989,0.0,3.0,14.0,24358.1021,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9888491512240645,0.0,3.0,0.0,4612.9965,78.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,6.989650917960078,0.0,3.0,4.0,37353.6103,71.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.0,0.0,1.0,11.0,35768.684,90.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.988955474251067,0.0,4.0,8.0,8451.2312,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.983703399897778,0.0,4.0,3.0,6939.6785,52.0,False,False,True,False,False,True,False,False,False,False,False,True
0.0,7.623796474302078,1.0,3.0,16.0,19639.8512,44.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.073369846782884,0.0,1.0,10.0,9929.6627,87.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.982609170571572,0.0,2.0,1.0,13107.222,25.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.973576096964365,0.0,2.0,22.0,15877.7315,45.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,7.630738198311057,1.0,3.0,23.0,18394.668,71.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,6.968208771708835,0.0,4.0,20.0,14493.6202,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.980502861366263,0.0,4.0,1.0,11514.8096,32.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.002214371922233,0.0,4.0,9.0,1539.4234,6.0,False,False,True,False,False,True,False,False,False,False,False,True
1.0,31.91790332696456,0.0,2.0,17.0,31730.4288,56.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,7.641315376839641,0.0,3.0,4.0,26557.9144,78.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.985200118911736,0.0,2.0,16.0,30176.9973,21.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0,0.0,1.0,2.0,29674.2027,87.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,7.015055335835773,0.0,1.0,0.0,1861.8176,22.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9670638476992846,0.0,1.0,18.0,10740.6889,73.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,5.07547511236086,0.0,3.0,5.0,1072.4393,95.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.984994324129342,0.0,1.0,5.0,21670.497,26.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.600581601140159,1.0,1.0,19.0,25740.8192,6.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.629213277217637,0.0,1.0,15.0,16003.4507,68.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.988865461675816,0.0,4.0,21.0,12607.8907,41.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.965599540993163,0.0,3.0,16.0,32871.2723,40.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,6.970765899085002,0.0,4.0,17.0,12606.6933,15.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.081692866296748,0.0,1.0,12.0,5485.789,1.0,False,True,True,False,True,True,False,False,False,False,False,False
