,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
135,"[1.98428051e-02 8.90549292e+01 9.99893405e+01 2.15498117e+01
 6.20000000e+01 9.15501000e+01 7.84329000e+01 5.08415000e+01
 1.00000000e+00]","[ 1.06102121 90.91513838 99.9967     56.54205051 62.         91.5501
 78.4329     50.8415      1.        ]",[58.8786 70.8631 42.0284 57.7609 62.     91.5501 78.4329 50.8415  1.    ],"[ 48.405   80.5521  88.243  100.      62.      91.5501  78.4329  50.8415
   1.    ]",[0.44840717 0.88379906 0.94222546 0.91898749],[0.44840717 0.81445127 0.94403851 0.79993571],[[0.76708776 0.76708776 0.76708776 0.76708776]],[[0.24722548 0.29179084 0.89774024 0.77115218]],89.42576137020478,53.60713232323235,188.2262,79.60989999999998,-35.81862904697243,134.61906767676766,98.80043862979522,108.61630000000002,-0.4005403867761379,2.5112156133452825,1.104831953521549,1.3643566943307308,1.7572660446166992,0.04682421684265137,0.022379398345947266,0.6821544170379639,37.52900022913007,78.52159461359811,2.092291138431381,30.48135640167899,48,1000
136,"[ 0.78459222 99.77703586 99.98262401 21.5233828  31.         29.2501
 27.556      98.3748      1.        ]","[ 1.06102121 90.87620909 99.9967     21.24239394 31.         29.2501
 27.556      98.3748      1.        ]",[52.4474 29.7801 65.2427  6.9677 31.     29.2501 27.556  98.3748  1.    ],[67.4474 64.354  73.8847 21.9677 31.     29.2501 27.556  98.3748  1.    ],[0.27794669 0.86754205 0.99817193 0.98350636],[0.27794669 0.81098836 0.99923348 0.96674555],[[0.77817018 0.77817018 0.77817018 0.77817018]],[[0.27794669 0.06737409 0.97532266 0.82796646]],79.50154955181245,88.94571818181822,250.4569,207.241,9.444168630005777,161.51118181818177,170.95535044818754,43.215899999999976,0.1187922585565563,1.815839875372404,2.150339853901504,0.20852968283303003,2.081906318664551,0.029612302780151367,0.030110597610473633,0.0843963623046875,70.30545155914109,69.14197936544385,0.9834511809839025,2.8028790194230875,72,88
137,"[ 3.83075008 98.17205581 99.40215023 20.44030853  9.         48.5428
 86.6963     80.3153      1.        ]","[ 1.06102121 90.87620909 99.9967     84.78177576  9.         48.5428
 86.6963     80.3153      1.        ]",[16.177  81.985  81.054  62.6491  9.     48.5428 86.6963 80.3153  1.    ],[33.4955 99.85   82.081  64.6096  9.     48.5428 86.6963 80.3153  1.    ],[0.85992601 0.8094482  0.80200374 0.89696587],[0.88251674 0.68525483 0.98206776 0.86595911],[[0.80401349 0.80401349 0.80401349 0.80401349]],[[0.81564157 0.49623016 0.97006726 0.86674396]],85.81623552347816,25.4063363636364,130.8874,86.9548999999999,-60.40989915984176,105.48106363636361,45.07116447652186,43.93250000000012,-0.7039448746655221,4.151762069376387,0.5252055651426355,0.505233172598671,13.496340036392212,0.031176328659057617,0.0020024776458740234,0.12588953971862793,432.9034436346673,6739.820573877842,15.568877247291343,62.86688891534706,0,208
138,"[ 0.90139825 23.07067374 99.98017766 20.470054   60.         49.6209
 15.8988     82.6995      1.        ]","[ 1.0515     75.95406768 99.9967     41.78177576 60.         49.6209
 15.8988     82.6995      1.        ]",[30.7653 73.2015 89.9562 87.3273 60.     49.6209 15.8988 82.6995  1.    ],"[ 36.4953  85.9335 100.      99.0903  60.      49.6209  15.8988  82.6995
   1.    ]",[0.92307046 0.80156516 0.89003694 0.92276069],[0.95612559 0.81167962 0.9889909  0.94125117],[[0.99145242 0.99145242 0.99145242 0.99145242]],[[0.95612559 0.67504277 0.99019909 0.95993041]],157.38049285181208,83.31895656565655,80.28030000000001,51.47149999999999,-74.06153628615553,-3.038656565656538,-77.10019285181207,28.80880000000002,-0.47058904788086503,-0.03647017066592802,-0.4898967556570613,0.5597039138163843,15.19483232498169,0.2948007583618164,0.00405573844909668,0.08959674835205078,51.54271790011031,3746.502028099465,72.68731996943154,22.091352654164954,0,136
139,"[16.87366275 99.87758905 99.9981988  84.9855558  78.         82.1202
 51.9066     93.3766      0.        ]","[ 3.06102121 97.95406768 99.9967     87.80746061 78.         82.1202
 51.9066     93.3766      0.        ]","[ 20.8018  77.41   100.      69.9658  78.      82.1202  51.9066  93.3766
   0.    ]",[15.2988 97.678  89.27   78.1538 78.     82.1202 51.9066 93.3766  0.    ],[0.21453528 0.89314176 0.83143675 0.50103126],[0.19169368 0.91505372 0.56786233 0.50103126],[0.3241158 0.3241158 0.3241158 0.3241158],[0.12894227 0.73609883 0.70482993 0.39733121],32.012319100473064,17.302792929292934,73.42599999999999,50.197,-14.70952617118013,56.12320707070705,41.41368089952692,23.228999999999985,-0.45949579988295064,3.243592366853834,1.2936794978691477,0.4627567384505047,1.9460208415985107,0.04515218734741211,0.26855921745300293,0.08510851860046387,43.099148810341006,7.24615174282394,0.16812749074722638,0.31690782914705806,1002,120
140,"[27.10869558 99.80622668 99.99994463 85.00158616 86.         50.7355
 39.0115     80.0006      0.        ]","[5.15000000e-02 9.79443354e+01 9.99967000e+01 8.47817758e+01
 8.60000000e+01 5.07355000e+01 3.90115000e+01 8.00006000e+01
 0.00000000e+00]",[21.6956 78.129  93.3822 33.5858 86.     50.7355 39.0115 80.0006  0.    ],[ 1.8746 69.727  82.0892 63.5858 86.     50.7355 39.0115 80.0006  0.    ],[0.86655722 0.86595237 0.91933769 0.57745049],[0.86655722 0.93019031 0.87461686 0.57745049],[0.48954219 0.48954219 0.48954219 0.48954219],[0.79635568 0.86095394 0.71913528 0.39420019],42.30093810526955,17.32868888888885,116.59859999999998,86.4726,-24.972249216380703,99.26991111111113,74.29766189473042,30.125999999999976,-0.5903474091812124,5.728645239557793,1.7564069550853518,0.34838781301822747,1.7959442138671875,0.023079395294189453,0.07638788223266602,0.04880833625793457,77.81591289436169,23.510852263150994,0.302134247208125,0.6389539129946253,180,96
141,"[ 0.38231036 99.75611485 99.99954732 84.96617742 94.         15.1063
 44.2549     81.1367      0.        ]","[ 1.06102121 90.87620909 99.9967     84.78177576 94.         15.1063
 44.2549     81.1367      0.        ]","[ 50.72    77.41   100.      28.8279  94.      15.1063  44.2549  81.1367
   0.    ]","[ 37.8355  77.006  100.     100.      94.      15.1063  44.2549  81.1367
   0.    ]",[0.8802741  0.93266726 0.95151418 0.57745049],[0.8802741  0.94806552 0.94877774 0.57745049],[0.42946347 0.42946347 0.42946347 0.42946347],[0.85346191 0.86973719 0.80502141 0.54743915],15.660470777354135,25.4063363636364,144.48210000000003,60.829499999999996,9.745865586282264,119.07576363636363,128.8216292226459,83.65260000000004,0.6223226443725625,4.686852993365643,8.225910386354972,1.3751978891820587,1.768493890762329,0.029335975646972656,0.16717839241027832,0.36458873748779297,60.28413413088001,10.578483650101184,0.17547707705537816,2.1808364838982484,1002,1000
142,"[4.27883937e-02 9.84120292e-03 9.99794496e+01 8.49721990e+01
 9.50000000e+01 9.68565000e+01 7.08774000e+01 7.34094000e+01
 0.00000000e+00]","[ 1.06102121  0.         99.9967     84.78177576 95.         96.8565
 70.8774     73.4094      0.        ]","[ 57.908  100.     100.      87.2893  95.      96.8565  70.8774  73.4094
   0.    ]","[ 37.8385  98.196  100.      95.7223  95.      96.8565  70.8774  73.4094
   0.    ]",[0.01028686 0.03644349 0.86262369 0.90353461],[0.01028686 0.03269986 0.86262369 0.90353461],[0.3558379 0.3558379 0.3558379 0.3558379],[0.25659622 0.2913855  0.07538997 0.20733748],115.08129866156827,116.28254545454547,70.61869999999999,43.92020000000008,1.2012467929772015,-45.66384545454548,-44.46259866156828,26.69849999999991,0.010438245022849757,-0.39269733282881525,-0.3863581587858522,0.6078865761084845,1.7749793529510498,0.013998985290527344,0.15190696716308594,0.10004281997680664,126.79342938892295,11.684647426641387,0.09215499165023919,0.6585795361802042,1002,152
143,"[  3.8307206   22.93922575  99.96249606  14.07475463 100.
  49.6181      69.4044      30.4719       1.        ]","[  1.06102121  75.73022424  99.9967      84.86739192 100.
  49.6181      69.4044      30.4719       1.        ]","[  4.3656  86.2519  64.84    92.4682 100.      49.6181  69.4044  30.4719
   1.    ]","[  6.2041  86.2519 100.     100.     100.      49.6181  69.4044  30.4719
   1.    ]",[0.93443381 0.80463034 0.9633345  0.83341086],[0.96058661 0.78077412 0.99966431 0.94888971],[[0.9925343 0.9925343 0.9925343 0.9925343]],[[0.96058661 0.75549796 0.99851018 0.95449211]],166.85424416066945,40.46670505050497,60.805499999999995,19.952200000000005,-126.38753911016448,20.338794949495025,-106.04874416066946,40.85329999999999,-0.7574727256470729,0.502605658753559,-0.6355771451552148,2.0475586652098507,14.647115707397461,0.1016683578491211,0.002002716064453125,0.06758737564086914,144.06759406042755,7313.625714285714,50.7652380952381,33.74785714285714,0,128
144,"[ 3.83067301 74.11997047 99.89154209 14.06451503 74.         56.3265
 51.4462     46.0419      1.        ]","[5.15000000e-02 8.58567444e+01 9.99967000e+01 8.18074606e+01
 7.40000000e+01 5.63265000e+01 5.14462000e+01 4.60419000e+01
 1.00000000e+00]",[16.116  79.258  83.798   3.8241 74.     56.3265 51.4462 46.0419  1.    ],"[ 36.3395  85.4125 100.     100.      74.      56.3265  51.4462  46.0419
   1.    ]",[0.95582921 0.80600913 0.94309634 0.92190084],[0.95582921 0.80198992 0.99246264 0.96127206],[[0.96195461 0.96195461 0.96195461 0.96195461]],[[0.95582921 0.66664058 0.99542278 0.96127206]],115.75464542225603,32.39059494949498,149.23590000000002,50.92700000000002,-83.36405047276105,116.84530505050503,33.48125457774398,98.3089,-0.7201788763523155,3.6073837245872147,0.28924329089004813,1.9303885954405315,13.469240188598633,0.09326672554016113,0.0033855438232421875,0.5088100433349609,144.41635117551874,3978.456901408451,27.548521126760562,150.28901408450704,0,1000
145,"[53.14808512 99.73091526 99.99727384 93.46702488 31.         99.5064
 34.6719     23.1241      1.        ]","[15.19431818 69.6718303  59.59629596 84.78177576 31.         99.5064
 34.6719     23.1241      1.        ]","[ 58.5651 100.     100.      97.255   31.      99.5064  34.6719  23.1241
   1.    ]","[ 30.7371  75.894   57.728  100.      31.      99.5064  34.6719  23.1241
   1.    ]",[0.2813385  0.09976253 0.72213066 0.62575603],[0.16112517 0.04799953 0.90651244 0.40862553],[[0.24341222 0.24341222 0.24341222 0.24341222]],[[0.15270612 0.06039818 0.73001969 0.40862553]],59.95287114037717,101.14441616161616,61.310100000000034,97.11509999999998,41.191545021238994,-39.83431616161613,1.3572288596228645,-35.80499999999995,0.6870654271884776,-0.3938360383430941,0.022638262918967957,-0.36868622902102716,1.9930953979492188,0.0713341236114502,0.19657039642333984,0.06659293174743652,27.940280149867814,10.139346688078247,0.3628935226737952,0.33877396067320337,1002,112
146,"[1.17722144e-02 9.97438148e+01 9.99742156e+01 8.43254474e+01
 2.80000000e+01 7.55861000e+01 8.52850000e+01 1.41644000e+01
 0.00000000e+00]","[ 6.06102121 97.95406768 99.9967     87.80746061 28.         75.5861
 85.285      14.1644      0.        ]","[ 33.7324 100.     100.      98.4588  28.      75.5861  85.285   14.1644
   0.    ]","[  5.6404  74.8155  91.324  100.      28.      75.5861  85.285   14.1644
   0.    ]",[0.66769246 0.90498342 0.22726645 0.49821629],[0.63564828 0.86493145 0.16239078 0.43337475],[0.77065577 0.77065577 0.77065577 0.77065577],[0.57364424 0.8179725  0.0864461  0.29256303],15.968294463874543,20.302792929292934,35.27359999999999,39.5009,4.334498465418392,14.970807070707053,19.305305536125445,-4.227300000000014,0.2714440465276008,0.7373767305239628,1.2089773006002804,-0.1070178147839673,2.387962818145752,0.05596113204956055,0.18290138244628906,0.07005143165588379,42.67181042783255,13.056012951936012,0.30596341755915446,0.38300110539872567,1002,128
